country_name,year,headcount,PopTotal,PIP_Region,poorpop
Japan,2027,0.00943403506454198,120600599,OHI,1137750.27977077
Japan,2028,0.00943403506454198,119912238,OHI,1131256.2579597
Japan,2029,0.00943403506454198,119217097,OHI,1124698.2733909
Japan,2030,0.00943403506454198,118514802,OHI,1118072.79773525
Jordan,2020,0.00228684152046144,10928721,MNA,24992.2529483388
Jordan,2021,0.00207769245610325,11148278,MNA,23162.6930991419
Jordan,2022,0.00201548441786779,11285869,MNA,22746.4931115971
Jordan,2023,0.00169193312989651,11337052,MNA,19181.5338741594
Jordan,2024,0.00147618450235493,11384922,MNA,16806.2454169197
Jordan,2025,0.00115869053618551,11442114,MNA,13257.8692057557
Jordan,2026,0.00104122496066256,11515043,MNA,11989.7501947027
Jordan,2027,0.00104122496066256,11604646,MNA,12083.0470748529
Jordan,2028,0.00104122496066256,11704094,MNA,12186.5948147409
Jordan,2029,0.00102742630645225,11813211,MNA,12137.2037450711
Jordan,2030,0.00102742630645225,11933395,MNA,12260.6839482857
Kazakhstan,2020,0.00435462537879756,18979243,ECA,82647.493238166
Kazakhstan,2021,0.00390767163769586,19196465,ECA,75013.4818245212
Kazakhstan,2022,0.0037348429869294,19397998,ECA,72448.4767907705
Kazakhstan,2023,0.00333493528171823,19606633,ECA,65386.8521474009
Kazakhstan,2024,0.00288200757821056,19828165,ECA,57144.9217920093
Kazakhstan,2025,0.00246424598516958,20055854,ECA,49422.5576986473
Kazakhstan,2026,0.0023413567624715,20277784,ECA,47477.5266963365
Kazakhstan,2027,0.00223666024151993,20494584,ECA,45839.4211992906
Kazakhstan,2028,0.00191127671280871,20707376,ECA,39577.5255321739
Kazakhstan,2029,0.00176533073057361,20918059,ECA,36927.2923766519
Kazakhstan,2030,0.00152031573149671,21128221,ECA,32121.5667648392
Kenya,2020,0.55993341738159,51985780,SSA,29108575.4506475
Kenya,2021,0.539862940900602,53005614,SSA,28615766.6582821
Kenya,2022,0.526010719619302,54027487,SSA,28419037.3160925
Kenya,2023,0.514508941975119,55100586,SSA,28349744.205069
Kenya,2024,0.502247715904697,56203030,SSA,28227843.4444232
Kenya,2025,0.490335223679941,57323930,SSA,28107942.0387633
Kenya,2026,0.479674801188077,58457378,SSA,28040531.1701263
Kenya,2027,0.466207974871267,59604431,SSA,27788061.0698642
Kenya,2028,0.454690582423957,60762923,SSA,27628328.8486521
Kenya,2029,0.442742661904377,61929863,SSA,27418992.3959934
Kenya,2030,0.429637521475805,63103942,SSA,27111821.236233
Kiribati,2020,0.197154331950622,126463,EAP,24932.7282814715
Kiribati,2021,0.197569065718183,128874,EAP,25461.5157753651
Kiribati,2022,0.200549531046336,131232,EAP,26318.5160582728
Kiribati,2023,0.197569065718183,133515,EAP,26378.4338093632
Kiribati,2024,0.197120518874081,135763,EAP,26761.6730039019
Kiribati,2025,0.194608510713464,137984,EAP,26852.8607422866
Kiribati,2026,0.191798884373933,140179,EAP,26886.1758126536
Kiribati,2027,0.189548148298461,142356,EAP,26983.3161991757
Kiribati,2028,0.18548815487171,144502,EAP,26803.4093552718
Kiribati,2029,0.183594336003806,146625,EAP,26919.519516558
Kiribati,2030,0.181599684141725,148720,EAP,27007.5050255573
"Korea, Rep.",2020,0.00226665142667683,51844690,OHI,117513.840554118
"Korea, Rep.",2021,0.00226665142667683,51830139,OHI,117480.858509209
"Korea, Rep.",2022,0.00226665142667683,51815810,OHI,117448.379660916
"Korea, Rep.",2023,0.00226665142667683,51784059,OHI,117376.411211467
"Korea, Rep.",2024,0.00226665142667683,51741963,OHI,117280.99425301
"Korea, Rep.",2025,0.00226665142667683,51690479,OHI,117164.297970959
"Korea, Rep.",2026,0.00226665142667683,51630817,OHI,117029.065013541
"Korea, Rep.",2027,0.00226665142667683,51561768,OHI,116872.55499918
"Korea, Rep.",2028,0.00226665142667683,51482230,OHI,116692.270078005
"Korea, Rep.",2029,0.00226665142667683,51392505,OHI,116488.894778746
"Korea, Rep.",2030,0.00226665142667683,51290214,OHI,116257.03673766
